epoch,train_loss,val_loss,train_acc1,val_acc1,train_acc5,val_acc5
1,1.727358049659729,1.4620929449081421,38.344,48.81,86.344,93.24
2,1.3852128176498413,1.2626857580184936,53.362,59.3,93.338,94.5
3,1.205572512512207,1.1637521348953248,61.114,63.64,95.154,95.53
4,1.0788856285095214,1.0913944801330566,66.568,65.3,96.17,96.68
5,1.000730573348999,0.9346717497825623,69.866,71.31,97.032,97.93
6,0.9171085680770874,0.8963245854377747,73.48,74.09,97.53,97.71
7,0.8595129565811157,0.8751834145545959,75.91,74.85,97.98,98.07
8,0.8177019952392578,0.8090434641838073,77.76,78.12,98.28,97.99
9,0.7802731937980651,0.8146791940689087,79.244,77.7,98.358,97.79
10,0.7404877826118469,0.7773725471496582,80.966,79.21,98.698,98.15
11,0.7139518940734864,0.7676077928543091,82.07,79.45,98.796,98.45
12,0.6743563526535035,0.8154948930740357,83.8,77.44,98.932,98.38
13,0.6598943967819214,0.8072064155578613,84.402,78.39,99.052,97.49
14,0.6333684657096863,0.7644538642883301,85.596,80.27,99.158,98.08
15,0.607895970287323,0.7131218841552734,86.658,82.27,99.218,98.23
16,0.5862133547401428,0.6643146535873413,87.592,83.88,99.322,98.67
17,0.5710483687591553,0.7338674490928649,88.206,81.21,99.378,98.74
18,0.5525983890342713,0.6688629945755005,89.08,84.29,99.376,98.71
19,0.5390344878005981,0.7002485666275025,89.692,83.04,99.508,98.56
20,0.5212345712471008,0.6607340320587158,90.432,84.85,99.566,98.55
21,0.5052540633010865,0.6505829781532287,91.084,84.96,99.566,98.5
22,0.4981120924758911,0.6306935487747193,91.384,85.77,99.614,98.59
23,0.48314532009124755,0.6069042249679566,91.954,86.92,99.662,98.74
24,0.47379121139526365,0.6033453038215637,92.482,87.08,99.67,98.93
25,0.46281335115432737,0.5940728377819061,92.904,87.44,99.744,99.0
26,0.4526395667648315,0.6877269314289093,93.442,83.75,99.726,98.19
27,0.4446009799003601,0.6182186241149903,93.626,86.55,99.768,98.54
28,0.4378503682899475,0.6118810780525208,94.014,86.51,99.754,98.54
29,0.430108140039444,0.6343636102676392,94.432,86.18,99.784,98.49
30,0.421639387588501,0.6059878072738647,94.76,87.4,99.838,98.44
31,0.41554180824279785,0.5834609273910523,95.06,87.95,99.824,98.73
32,0.4105192292881012,0.6084686910629272,95.278,86.91,99.856,98.59
33,0.40317466938972474,0.5633482898712158,95.512,89.18,99.874,98.88
