epoch,train_loss,val_loss,train_acc1,val_acc1,train_acc5,val_acc5
1,2.013687511024475,2.067663266181946,27.12,23.02,78.15,78.84
2,1.9658005532455445,2.080485194969177,28.562,24.85,79.958,77.31
3,1.9244504708480834,1.9063721570968628,30.212,31.2,81.256,81.32
4,1.860474214630127,2.0471921348571778,32.818,24.24,83.292,77.13
5,1.8667818356323242,1.9094098402023316,32.368,29.69,83.238,83.05
6,1.865153201942444,1.988376840019226,32.048,29.37,83.324,79.93
7,1.8479224628448487,2.04617032623291,32.744,23.83,83.938,79.59
8,1.837946412010193,1.9725327781677247,33.152,28.63,84.082,80.81
9,1.8393909060668945,1.8815531894683837,33.044,31.03,84.19,83.67
10,1.8436646368026732,1.861044115638733,32.788,30.87,84.072,85.04
11,1.8399355425262451,2.019541548728943,32.522,26.79,84.01,78.0
12,1.8551787314605712,1.8633258291244508,32.232,30.1,83.606,84.59
13,1.855584242515564,1.9873410835266114,31.798,25.32,83.686,80.93
14,1.8617057471466065,1.931521908378601,31.87,30.75,83.594,81.22
15,1.8699896939468383,1.9764831548690796,31.024,28.0,83.642,79.21
16,1.8733009244155885,2.1139843418121336,30.944,23.42,83.424,74.72
17,1.885996196975708,1.9159433254241944,30.282,30.7,82.932,81.51
18,1.9046392991638184,1.9127790784835816,29.378,28.56,82.382,82.21
19,1.9150379977416991,1.9547812063217163,29.118,26.78,81.956,80.69
20,1.923023484802246,1.8961142404556275,28.22,30.06,81.924,83.19
21,1.9424051016998292,2.09864291305542,27.67,22.41,81.318,77.42
22,1.949578716468811,1.9449222261428833,27.404,27.74,80.798,81.28
23,1.9505376486206054,1.941526559829712,26.998,27.73,80.772,81.12
24,1.9558763942718507,1.950806750679016,26.972,26.83,80.558,80.61
25,1.9765632829284667,1.9294282741546631,25.818,27.4,79.848,82.05
26,1.978088074913025,2.069485028457642,26.22,24.4,79.936,76.87
27,1.9874696076202392,2.040224253845215,25.716,25.33,79.67,77.14
28,1.99188491065979,2.1121499757766724,25.462,21.07,79.324,76.92
